Brand,Name,Variant,Type,Lip Condition,Undertone,Ketahanan,Finish Texture,Price
TimePhoria,TimePhoria Eternal Lip Matte,Charm,Matte Lip Cream,"Normal, Dehidrasi","Neutral-Shade, Warm-Shade",High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Arcane,Matte Lip Cream,"Normal, Dehidrasi",Cool-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Hex,Matte Lip Cream,"Normal, Dehidrasi",Cool-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Illusion,Matte Lip Cream,"Normal, Dehidrasi",Warm-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Sun N Moon,Matte Lip Cream,"Normal, Dehidrasi","Warm-Shade, Cool-Shade",High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Pocus,Matte Lip Cream,"Normal, Dehidrasi",Cool-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Love Spell,Matte Lip Cream,"Normal, Dehidrasi",Warm-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Oracle,Matte Lip Cream,"Normal, Dehidrasi",Cool-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Twilight,Matte Lip Cream,"Normal, Dehidrasi",Cool-Shade,High-Stay,Matte,94050
Implora,Implora Caffe Matte Lip Cream,Salted Caramel,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,20900
Implora,Implora Caffe Matte Lip Cream,Hazelnut Latte,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,20900
Implora,Implora Caffe Matte Lip Cream,Rose Latte,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,20900
Implora,Implora Caffe Matte Lip Cream,Americano,Lip Cream,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,20900
Implora,Implora Caffe Matte Lip Cream,Cappucino,Lip Cream,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,20900
Implora,Implora Caffe Matte Lip Cream,Vanilla Latte,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,20900
Vaseline,Vaseline Lip Therapy 7gr Mini,Rosy Lips,Lip Therapy,"Kering, Dehidrasi","Cool-Shade, Neutral-Shade, Warm-Shade",Low-Stay,Glossy,43500
Vaseline,Vaseline Lip Therapy 7gr Mini,Original,Lip Therapy,"Kering, Dehidrasi","Cool-Shade, Neutral-Shade, Warm-Shade",Low-Stay,Glossy,43500
Vaseline,Vaseline Lip Therapy 7gr Mini,Creme Brulee,Lip Therapy,"Kering, Dehidrasi","Cool-Shade, Neutral-Shade, Warm-Shade",Low-Stay,Glossy,43500
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Chestnut,Lip Velvet,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Almond Rose,Lip Velvet,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Milk Tea,Lip Velvet,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Mauve Berry,Lip Velvet,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Pink Punch,Lip Velvet,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Rum Raisin,Lip Velvet,"Kering, Dehidrasi","Warm-Shade, Cool-Shade",High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Peach Fizz,Lip Velvet,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Caramel,Lip Velvet,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Pink Slush,Lip Velvet,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Rose Petal,Lip Velvet,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Burgundy,Lip Velvet,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,65550
Soulyu,Soulyu Fluffy Haze Lip Velvet 3 ml,Red Cherry,Lip Velvet,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,65550
TimePhoria,TimePhoria Lunara Frost Lip Gloss,Artemis,Lip Gloss,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,94050
TimePhoria,TimePhoria Lunara Frost Lip Gloss,Celesta,Lip Gloss,"Kering, Dehidrasi",Neutral-Shade,Low-Stay,Glossy,94050
TimePhoria,TimePhoria Lunara Frost Lip Gloss,Dunara,Lip Gloss,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,94050
TimePhoria,TimePhoria Lunara Frost Lip Gloss,Mirelle,Lip Gloss,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,94050
TimePhoria,TimePhoria Lunara Frost Lip Gloss,Mauvilia,Lip Gloss,"Kering, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,94050
Pinkflash,Pinkflash Hydrating lip Gloss PF-L34,Nectar Glaze,Lip Gloss,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,15900
Pinkflash,Pinkflash Hydrating lip Gloss PF-L34,Rosy Drip,Lip Gloss,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,15900
Pinkflash,Pinkflash Hydrating lip Gloss PF-L34,Bubblegum Fizz,Lip Gloss,"Kering, Normal, Dehidrasi",Cool-Shade,Low-Stay,Glossy,15900
Pinkflash,Pinkflash Hydrating lip Gloss PF-L34,Crystal Clear,Lip Gloss,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,15900
Pinkflash,Pinkflash Hydrating lip Gloss PF-L34,Twinkle Pop,Lip Gloss,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,15900
Implora,Implora Day To Day Lip Bullet,Intention,Lip Bullet,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Matte,17425
Implora,Implora Day To Day Lip Bullet,Habitual,Lip Bullet,"Kering, Normal, Dehidrasi",Neutral-Shade,Low-Stay,Matte,17425
Implora,Implora Day To Day Lip Bullet,Extraordinary,Lip Bullet,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Matte,17425
Implora,Implora Day To Day Lip Bullet,Attention,Lip Bullet,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Matte,17425
Implora,Implora Day To Day Lip Bullet,At Night,Lip Bullet,"Kering, Normal, Dehidrasi","Neutral-Shade, Warm-Shade",Low-Stay,Matte,17425
Nivea,Nivea Lip Balm Stick 24h melt-in moisture,Original Care,Lip Balm,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,35100
Nivea,Nivea Lip Balm Stick 24h melt-in moisture,Strawberry Shine,Lip Balm,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,35100
Nivea,Nivea Lip Balm Stick 24h melt-in moisture,Watermelon Shine,Lip Balm,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,35100
Buttered,Buttered Premium Lip Balm SPF15,Iced Pear,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Peach Apricot,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Candy Cane,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Cherry,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Peppermint,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Coconut,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Strawberry,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Vanilla,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Watermelon,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Unscented,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Lychee,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Guava,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Buttered,Buttered Premium Lip Balm SPF15,Melon,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,34310
Amaterasun,Amaterasun Lip Balm SPF 20 PA+++,,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,35100
Saniye,Saniye Water Color Lip Gloss,#01,Lip Gloss,"Kering, Normal, Dehidrasi",Neutral-Shade,Low-Stay,Glossy,23655
Saniye,Saniye Water Color Lip Gloss,#02,Lip Gloss,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,23655
Saniye,Saniye Water Color Lip Gloss,#03,Lip Gloss,"Kering, Normal, Dehidrasi",Cool-Shade,Low-Stay,Glossy,23655
Saniye,Saniye Water Color Lip Gloss,#05,Lip Gloss,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,23655
Saniye,Saniye Water Color Lip Gloss,#06,Lip Gloss,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,23655
Saniye,Saniye Water Color Lip Gloss,#07,Lip Gloss,"Kering, Normal, Dehidrasi","Neutral-Shade, Warm-Shade",Low-Stay,Glossy,23655
Dazzle Me,DAZZLE ME Ink-Gloss Lip Tint,Allure-Ink,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,23900
Dazzle Me,DAZZLE ME Ink-Gloss Lip Tint,Femme-Ink,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,23900
Dazzle Me,DAZZLE ME Ink-Gloss Lip Tint,Toasty-Ink,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,23900
Dazzle Me,DAZZLE ME Ink-Gloss Lip Tint,Fresh-Ink,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,23900
Dazzle Me,DAZZLE ME Ink-Gloss Lip Tint,Amber-Ink,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,23900
Dear Me Beauty,Dear Me Beauty Hypergloss Lip Balm,Dear Rene,Lip Balm,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,71200
Dear Me Beauty,Dear Me Beauty Hypergloss Lip Balm,Dear Lala,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade",Low-Stay,Glossy,71200
Dear Me Beauty,Dear Me Beauty Hypergloss Lip Balm,Dear Lia,Lip Balm,"Kering, Normal, Dehidrasi","Neutral-Shade, Cool-Shade",Low-Stay,Glossy,71200
Dear Me Beauty,Dear Me Beauty Hypergloss Lip Balm,Dear Winna,Lip Balm,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,71200
Dear Me Beauty,Dear Me Beauty Hypergloss Lip Balm,Dear Sonya,Lip Balm,"Kering, Normal, Dehidrasi",Cool-Shade,Low-Stay,Glossy,71200
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Rosewood Dream,Lip Cream,"Kering, Normal, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Cherish Delight,Lip Cream,"Kering, Normal, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Wine Thrill,Lip Cream,"Kering, Normal, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Autumn Walk,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Summer Sunset,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Blushed Moment,Lip Cream,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Choco Sense,Lip Cream,"Kering, Normal, Dehidrasi",Neutral-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Peony Crush,Lip Cream,"Kering, Normal, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Marsala Bliss,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Pumpkin Bite,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Beige Sunrise,Lip Cream,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Coral Bloom,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Latte Muse,Lip Cream,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,75900
BNB Barenbliss,BNB Barenbliss Cherry Makes Cheerful Lip Velvet korea Lipcream,Amber Flare,Lip Cream,"Kering, Normal, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,75900
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Cinnamon,Lipstick,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,31000
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Peony,Lipstick,"Kering, Dehidrasi","Neutral-Shade, Warm-Shade",High-Stay,Matte,31000
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Tropical,Lipstick,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,31000
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Noona,Lipstick,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,31000
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Pop,Lipstick,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,31000
Hanasui,Hydrate Hanasui Mattedorable Lipstick - Anti Geser !,Superstar,Lipstick,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,31000
Skintific,Skintific Bright Lip Serum 6.5ml,Peptide Bright,Lip Serum,"Kering, Dehidrasi",Neutral-Shade,Low-Stay,Glossy,104396
Skintific,Skintific Bright Lip Serum 6.5ml,Peach Rose,Lip Serum,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,104396
Skintific,Skintific Bright Lip Serum 6.5ml,Pink Berry,Lip Serum,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,104396
Skintific,Skintific Bright Lip Serum 6.5ml,Cherry Red,Lip Serum,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,104396
Vaseline,Vaseline Lip Therapy Balm Stick,Original,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Therapy Balm Stick,Aloe Vera,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Cool-Shade, Neutral-Shade",Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Therapy Balm Stick,Cocoa Butter,Lip Balm,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Therapy Balm Stick,Rosy Lips,Lip Balm,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Therapy Balm Stick,Cherry,Lip Balm,"Kering, Normal, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Care Colour + Care Tinted Lip Balm,Blooming Pink,Lip Care,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Care Colour + Care Tinted Lip Balm,Kissing Red,Lip Care,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,30900
Vaseline,Vaseline Lip Care Colour + Care Tinted Lip Balm,Mellow Rose,Lip Care,"Kering, Dehidrasi","Neutral-Shade, Warm-Shade",Low-Stay,Glossy,30900
Implora,Implora Day To Day Lite Matte Lip Cream,Uplifted,Lip Cream,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,18700
Implora,Implora Day To Day Lite Matte Lip Cream,Cherish,Lip Cream,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,18700
Implora,Implora Day To Day Lite Matte Lip Cream,Passionate,Lip Cream,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,18700
Implora,Implora Day To Day Lite Matte Lip Cream,Humble,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,18700
Implora,Implora Day To Day Lite Matte Lip Cream,Ambition,Lip Cream,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,18700
Implora,Implora Day To Day Lite Matte Lip Cream,Attitude,Lip Cream,"Kering, Dehidrasi","Neutral-Shade, Warm-Shade",High-Stay,Matte,18700
Azarine,Azarine Glowkiss Sunscreen Lip Balm 3gr,Sunny Dewy,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,63050
Azarine,Azarine Glowkiss Sunscreen Lip Balm 3gr,Toasted Bliss,Lip Balm,"Kering, Normal, Dehidrasi",Warm-Shade,Low-Stay,Glossy,63050
Azarine,Azarine Glowkiss Sunscreen Lip Balm 3gr,Nectar Glow,Lip Balm,"Kering, Normal, Dehidrasi","Warm-Shade, Neutral-Shade",Low-Stay,Glossy,63050
Azarine,Azarine Glowkiss Sunscreen Lip Balm 3gr,Rosy Blush,Lip Balm,"Kering, Normal, Dehidrasi","Neutral-Shade, Cool-Shade",Low-Stay,Glossy,63050
Azarine,Azarine Glowkiss Sunscreen Lip Balm 3gr,Berry Pop,Lip Balm,"Kering, Normal, Dehidrasi","Neutral-Shade, Cool-Shade",Low-Stay,Glossy,63050
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Enchanting Garden,Lip Cream Vinyl,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Movie Night,Lip Cream Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,First Meet,Lip Cream Vinyl,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Silent Touch,Lip Cream Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Midlight Talk,Lip Cream Vinyl,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Cute Smile,Lip Cream Vinyl,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Second Date,Lip Cream Vinyl,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Starry Night,Lip Cream Vinyl,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Whisper Willow,Lip Cream Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Twilight Tale,Lip Cream Vinyl,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Moonlit Spark,Lip Cream Vinyl,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,82900
BNB Barenbliss,BNB Barenbliss Aura Mood Vinyl & Matte Lip Cream,Misty Dusk,Lip Cream Vinyl,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,82900
Implora,Implora Day to Day Series Dewy Tint,Grateful,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Bliss,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Growth,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Lively,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Wise,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Empower,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Dreamer,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Adventure,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Spirit,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,17425
Implora,Implora Day to Day Series Dewy Tint,Unstoppable,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,17425
Madame Gie,Madame Gie Madame LiPill | Lip Tint,Butterscotch,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,21500
Madame Gie,Madame Gie Madame LiPill | Lip Tint,Cotton Candy,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,21500
Madame Gie,Madame Gie Madame LiPill | Lip Tint,Mulberry Cane,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,21500
Madame Gie,Madame Gie Madame LiPill | Lip Tint,Sweet Cherry,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,21500
Madame Gie,Madame Gie Madame LiPill | Lip Tint,Berry Jam,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,21500
Dazzle Me,Dazzle Me Ink Vinyl Lip Lacquer,Power Ink,Lip Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39900
Dazzle Me,Dazzle Me Ink Vinyl Lip Lacquer,Icon Ink,Lip Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39900
Dazzle Me,Dazzle Me Ink Vinyl Lip Lacquer,Magic Ink,Lip Vinyl,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,39900
Dazzle Me,Dazzle Me Ink Vinyl Lip Lacquer,Famous Ink,Lip Vinyl,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,39900
Dazzle Me,Dazzle Me Ink Vinyl Lip Lacquer,Posh Ink,Lip Vinyl,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39900
Vaseline,Vaseline Lip Balm 10gr,,Lip Balm,"Kering, Normal, Dehidrasi","Neutral-Shade, Cool-Shade",Low-Stay,Glossy,32300
Salsa,Salsa Tinted Lip Glow Serum,Twilight,Lip Serum,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,19800
Salsa,Salsa Tinted Lip Glow Serum,Coral Nude,Lip Serum,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,19800
Salsa,Salsa Tinted Lip Glow Serum,Original,Lip Serum,"Kering, Dehidrasi","Cool-Shade, Neutral-Shade",Low-Stay,Glossy,19800
Kaila Beaute,Kaila Beaute Let's Gloss Lip,Cupcake,Lip Gloss,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,70650
Kaila Beaute,Kaila Beaute Let's Gloss Lip,Gelato,Lip Gloss,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,70650
Kaila Beaute,Kaila Beaute Let's Gloss Lip,Popcorn,Lip Gloss,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,70650
Kaila Beaute,Kaila Beaute Let's Gloss Lip,Sandwich,Lip Gloss,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,70650
Kaila Beaute,Kaila Beaute Let's Gloss Lip,Waffle,Lip Gloss,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,70650
